probe                        split           n  gm   pos    AUC   95%CI(game-boot) | AUCstrat            95%CI    pairs
S_commit_mlp                 ho_unseen    3341  21 0.386  0.708 [ 0.684, 0.729] |    0.572 [ 0.539, 0.602]    10224

S_commit_mlp_dt_last_gold-n_gold train        7343  50 0.367  0.586 [ 0.572, 0.599] |    0.578 [ 0.559, 0.595]    22650
S_commit_mlp_dt_last_gold-n_gold val          1592  10 0.395  0.600 [ 0.575, 0.624] |    0.589 [ 0.563, 0.615]     5334
S_commit_mlp_dt_last_gold-n_gold ho_seen      3967  25 0.390  0.613 [ 0.583, 0.643] |    0.598 [ 0.562, 0.630]    12249
S_commit_mlp_dt_last_gold-n_gold ho_unseen    3341  21 0.386  0.585 [ 0.557, 0.611] |    0.563 [ 0.534, 0.591]    10224

S_commit_mlp_level-hp_frac   train        7343  50 0.367  0.641 [ 0.623, 0.657] |    0.507 [ 0.491, 0.524]    22650
S_commit_mlp_level-hp_frac   val          1592  10 0.395  0.623 [ 0.577, 0.671] |    0.485 [ 0.449, 0.523]     5334
S_commit_mlp_level-hp_frac   ho_seen      3967  25 0.390  0.642 [ 0.622, 0.660] |    0.507 [ 0.480, 0.534]    12249
S_commit_mlp_level-hp_frac   ho_unseen    3341  21 0.386  0.674 [ 0.644, 0.703] |    0.524 [ 0.505, 0.543]    10224

S_commit_mlp_minutes         train        7343  50 0.367  0.633 [ 0.613, 0.650] |    0.523 [ 0.504, 0.543]    22650
S_commit_mlp_minutes         val          1592  10 0.395  0.623 [ 0.577, 0.672] |    0.511 [ 0.483, 0.542]     5334
S_commit_mlp_minutes         ho_seen      3967  25 0.390  0.635 [ 0.613, 0.654] |    0.533 [ 0.513, 0.551]    12249
S_commit_mlp_minutes         ho_unseen    3341  21 0.386  0.671 [ 0.641, 0.698] |    0.537 [ 0.506, 0.569]    10224

S_gold_mlp                   train       13781  50 0.160  0.753 [ 0.738, 0.767] |    0.576 [ 0.556, 0.597]    44661
S_gold_mlp                   val          2922  10 0.171  0.737 [ 0.704, 0.770] |    0.571 [ 0.532, 0.603]     9966
S_gold_mlp                   ho_seen      6890  25 0.178  0.746 [ 0.731, 0.761] |    0.587 [ 0.546, 0.625]    22605
S_gold_mlp                   ho_unseen    5799  21 0.177  0.759 [ 0.739, 0.779] |    0.560 [ 0.528, 0.590]    18490

cheat_commit_None            train        4596  50 0.375  0.996 [ 0.994, 0.997] |    0.994 [ 0.991, 0.996]     9171
cheat_commit_None            val           881  10 0.413  0.964 [ 0.949, 0.976] |    0.967 [ 0.944, 0.987]     1682
cheat_commit_None            ho_seen      2371  25 0.407  0.959 [ 0.953, 0.965] |    0.950 [ 0.937, 0.961]     4551
cheat_commit_None            ho_unseen     235   3 0.647  0.923 [ 0.864, 0.983] |    0.890 [ 0.872, 0.977]      864

